Grötzingen-Karlsruhe,,TG Wangen-Eisenharz
Boden
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Kramer, Julius","3,9","10,95",0,,"Mittmann, Moritz","3,3","11,70",3
"Brücher, Björn","3,1","10,10",0,,"von Kirn, Julian","3,9","11,20",4
"Weiss, Sverre","3,9","11,85",0,,"Ruchti, Finn","3,9","12,10",1
"Schneider, Sebastian","3,3","9,65",0,,"Drechsel, Manuel","4,0","12,40",5
Summe,,0,,Summe,,13
Pferd
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Rudat, Jens","2,8","7,75",0,,"Ruf, Elias","2,7","10,40",5
"Brücher, Björn","2,6","8,80",0,,"Kimmerle, Felix","3,1","9,95",4
"Kramer, Julius","2,4","5,85",0,,"Schober, Pascal","4,4","12,60",10
"Richter, Marco","2,6","10,45",0,,"Mittmann, Moritz","4,2","12,65",5
Summe,,0,,Summe,,24
Ringe
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Brücher, Björn","2,9","10,60",0,,"Teiber, Jakob","3,5","11,10",2
"Huber, Leo","2,9","10,60",0,,"Steinhauser, Nico","3,1","11,15",3
"Enderle, Gerrit","2,6","11,00",0,,"Drechsel, Manuel","3,5","11,25",1
"Bertsch, Julian","2,7","9,75",0,,"Ruf, Elias","3,8","11,55",4
Summe,,0,,Summe,,10
Sprung
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Eder, Neyén Eitan","3,2","11,95",0,,"Ruf, Elias","4,0","12,40",2
"Schneider, Sebastian","3,2","11,30",0,,"Kimmerle, Felix","3,2","11,85",3
"Kramer, Julius","3,2","11,95",1,,"von Kirn, Julian","3,2","11,75",0
"Huber, Leo","2,4","11,10",0,,"Drechsel, Manuel","4,0","12,55",4
Summe,,1,,Summe,,9
Barren
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Bertsch, Julian","2,5","10,70",0,,"Mittmann, Moritz","3,4","11,85",4
"Huber, Leo","3,0","11,35",0,,"Kimmerle, Felix","3,2","11,65",2
"Kramer, Julius","2,4","10,90",0,,"Drechsel, Manuel","3,5","11,30",2
"Enderle, Gerrit","2,5","11,45",0,,"Schober, Pascal","3,7","12,35",3
Summe,,0,,Summe,,11
Reck
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Kramer, Julius","2,6","10,70",0,,"Ruf, Elias","2,9","11,05",2
"Weiss, Sverre","3,0","10,80",0,,"Drechsel, Manuel","3,1","11,20",2
"Huber, Leo","2,3","6,30",0,,"von Kirn, Julian","2,6","11,15",5
"Brücher, Björn","2,5","10,30",0,,"Kimmerle, Felix","2,7","11,10",3
Summe,,0,,Summe,,12
Gesamt,,1,,Gesamt,,79
