Grötzingen-Karlsruhe,,USC München
Boden
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Brücher, Björn","3,1","10,10",0,,"Bouchi, Rayan","3,2","11,35",4
"Richter, Marco","3,8","11,50",1,,"Seipl, Paul","3,3","11,25",0
"Kramer, Julius","3,6","11,65",0,,"Röhr, Alessio","3,4","11,55",0
"Weiss, Sverre","3,5","11,95",0,,"Huber, Paul","3,3","11,85",0
Summe,,1,,Summe,,4
Pferd
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Rudat, Jens","2,7","10,85",4,,"Seipl, Paul","2,5","9,50",0
"Brücher, Björn","2,6","9,85",5,,"Bouchi, Rayan","2,4","6,85",0
"Roth, Tobias","2,5","10,85",0,,"Ritung, Ken","3,6","11,25",2
"Richter, Marco","2,5","10,80",0,,"Pfinder, Moritz","3,3","11,00",1
Summe,,9,,Summe,,3
Ringe
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Huber, Leo","2,9","9,70",0,,"Peindl, Severin","2,5","11,20",4
"Enderle, Gerrit","2,5","9,90",0,,"Huber, David","2,4","10,95",4
"Roth, Tobias","2,5","10,85",0,,"Huber, Paul","2,9","10,95",0
"Brücher, Björn","2,9","10,35",0,,"Seipl, Paul","2,4","10,50",1
Summe,,0,,Summe,,9
Sprung
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Kramer, Julius","3,2","11,95",0,,"Bouchi, Rayan","3,2","12,20",1
"Huber, Leo","2,4","11,35",0,,"Schnippe, Lukas","3,2","12,10",3
"Brücher, Björn","2,4","10,65",0,,"Ritung, Ken","4,0","13,20",5
"Schneider, Sebastian","2,2","10,40",0,,"Röhr, Alessio","4,0","12,70",5
Summe,,0,,Summe,,14
Barren
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Bratan, Lazar","2,6","11,30",0,,"Huber, David","2,5","11,55",1
"Enderle, Gerrit","2,5","11,70",0,,"Huber, Paul","2,5","11,60",0
"Huber, Leo","3,0","11,20",0,,"Peindl, Severin","2,6","11,25",0
"Kramer, Julius","2,4","10,40",0,,"Ritung, Ken","3,1","10,55",1
Summe,,0,,Summe,,2
Reck
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Hanke, Thomas","2,6","11,05",3,,"Bouchi, Rayan","2,5","10,45",0
"Weiss, Sverre","2,4","10,75",0,,"Hechtl, Dominik","2,5","11,00",1
"Kramer, Julius","1,9","9,00",0,,"Pfinder, Moritz","2,6","9,25",1
"Roth, Tobias","2,5","10,90",0,,"Ritung, Ken","3,4","11,25",2
Summe,,3,,Summe,,4
Gesamt,,13,,Gesamt,,36
