KTT Heilbronn,,TSV Unterföhring
Boden
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Hofmann, Jakob","3,9","11,45",1,,"Bircks, Oliver","3,8","11,20",0
"Späth, Fabian","3,7","11,30",0,,"Isztl, Daniel","3,5","11,60",2
"Thiele, Moritz","3,4","11,15",0,,"Miggitsch, Martin","4,6","12,50",4
"Schaaf, Jonas","3,7","11,70",2,,"Wolf, Sebastian","3,8","11,20",0
Summe,,3,,Summe,,6
Pferd
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Thiele, Moritz","2,7","9,50",5,,"Eiglmeier, Christoph","2,5","7,00",0
"Hofmann, Jakob","3,5","10,45",0,,"Miggitsch, Martin","3,9","11,70",4
"Konrad, Joshua","2,5","2,95",0,,"Bircks, Oliver","2,5","9,95",10
"Schaaf, Jonas","2,7","9,20",5,,"Wolf, Sebastian","2,6","7,10",0
Summe,,10,,Summe,,14
Ringe
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Storz, Patrick","3,0","9,50",0,,"Bircks, Oliver","2,9","10,95",4
"Schaaf, Jonas","2,6","10,00",0,,"Bircks, Florian","2,4","10,50",2
"Payer, Stefan","2,7","9,30",0,,"Eiglmeier, Christoph","3,3","10,55",4
"Staufert, Colin","2,6","9,90",0,,"Zander, Daniel","5,0","12,70",5
Summe,,0,,Summe,,15
Sprung
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Thiele, Moritz","3,2","11,95",0,,"Bircks, Oliver","4,0","12,40",2
"Hofmann, Jakob","4,0","12,20",0,,"Miggitsch, Martin","4,8","12,90",3
"Späth, Fabian","3,2","11,70",0,,"Isztl, Daniel","4,0","12,10",2
"Binder, Julius","3,2","11,60",0,,"Eiglmeier, Christoph","4,0","12,90",4
Summe,,0,,Summe,,11
Barren
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Staufert, Colin","2,4","11,15",0,,"Bircks, Oliver","2,5","11,25",0
"Hofmann, Jakob","3,4","11,00",0,,"Rolle, Andreas","2,5","11,40",2
"Schaaf, Jonas","3,0","10,80",0,,"Isztl, Daniel","3,2","11,85",4
"Storz, Patrick","2,9","11,30",0,,"Zander, Daniel","3,8","11,95",3
Summe,,0,,Summe,,9
Reck
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Schaaf, Jonas","2,8","10,35",0,,"Marin Ogalla, Pablo","3,6","10,65",2
"Payer, Stefan","2,5","6,00",0,,"Bircks, Oliver","3,2","9,60",5
"Hofmann, Jakob","2,9","11,10",3,,"Isztl, Daniel","2,9","10,10",0
"Thiele, Moritz","2,4","9,90",0,,"Wolf, Sebastian","2,9","10,95",4
Summe,,3,,Summe,,11
Gesamt,,16,,Gesamt,,66
