KTV Hohenlohe,,Grötzingen-Karlsruhe
Boden
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Bortt, Silas","3,4","10,95",0,,"Kramer, Julius","3,8","10,90",0
"Philippiak, Ron","3,5","11,15",3,,"Bertsch, Julian","3,4","10,50",0
"Schmidt, Micha Joel","3,5","11,45",5,,"Brücher, Björn","3,0","7,05",0
"Albrecht, Jonas","3,8","11,05",2,,"Weiss, Sverre","3,7","10,65",0
Summe,,10,,Summe,,0
Pferd
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Bortt, Silas","2,6","9,65",0,,"Richter, Marco","2,8","9,70",0
"Bortt, Jan-Moritz","2,3","5,30",0,,"Roth, Tobias","2,5","5,95",3
"Pfleger, Julian","2,6","8,65",3,,"Brücher, Björn","2,6","8,10",0
"Hofmann, Benjamin","2,5","8,25",5,,"Parkin, Nikolai","2,3","4,00",0
Summe,,8,,Summe,,3
Ringe
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Philippiak, Ron","2,6","9,90",4,,"Enderle, Gerrit","2,6","8,75",0
"Bogdahn, Michael","2,6","9,50",2,,"Huber, Leo","2,4","9,05",0
"Müller, Mario","2,9","9,15",0,,"Roth, Tobias","2,6","9,30",1
"Bortt, Silas","2,9","9,05",1,,"Brücher, Björn","2,9","8,80",0
Summe,,7,,Summe,,1
Sprung
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Bortt, Jan-Moritz","3,2","11,85",0,,"Eder, Neyén Eitan","3,2","12,05",1
"Albrecht, Jonas","4,0","13,05",5,,"Schneider, Sebastian","2,2","10,50",0
"Philippiak, Ron","4,0","12,55",2,,"Kramer, Julius","3,2","12,20",0
"Schmidt, Micha Joel","3,2","12,10",5,,"Huber, Leo","2,4","9,85",0
Summe,,12,,Summe,,1
Barren
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Schmidt, Philipp","2,4","11,15",4,,"Bertsch, Julian","2,5","9,60",0
"Bogdahn, Michael","2,5","10,35",1,,"Enderle, Gerrit","2,5","10,20",0
"Philippiak, Ron","2,9","10,75",0,,"Huber, Leo","3,0","10,95",1
"Bortt, Silas","2,5","11,00",3,,"Kramer, Julius","2,4","10,15",0
Summe,,8,,Summe,,1
Reck
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Schmidt, Philipp","2,6","10,30",0,,"Kramer, Julius","2,6","10,40",0
"Müller, Mario","2,4","10,45",0,,"Roth, Tobias","2,5","10,55",0
"Philippiak, Ron","3,1","9,55",4,,"Bertsch, Julian","2,4","8,45",0
"Bortt, Silas","2,5","10,50",0,,"Weiss, Sverre","3,0","10,60",0
Summe,,4,,Summe,,0
Gesamt,,49,,Gesamt,,6
