TG Wangen-Eisenharz,,TSG Backnang
Boden
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"von Kirn, Julian","4,3","11,75",0,,"Cocks, Jonathan","3,8","11,75",0
"Ruf, Elias","4,0","9,75",0,,"Kuhn, Björn","3,5","11,55",4
"Mittmann, Moritz","3,4","11,45",2,,"Böckheler, Urs","3,6","11,15",0
"Drechsel, Manuel","4,0","11,85",4,,"Tasol, Tim","3,7","10,10",0
Summe,,6,,Summe,,4
Pferd
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Kimmerle, Felix","3,1","11,05",4,,"Ellinger, Florian","2,7","9,70",0
"Ruf, Elias","2,7","10,60",5,,"Wullert, Bastian","2,6","5,40",0
"Schober, Pascal","3,7","9,70",5,,"Kuhn, Björn","2,6","7,45",0
"Mittmann, Moritz","4,1","12,15",4,,"Cocks, Jonathan","3,0","10,40",0
Summe,,18,,Summe,,0
Ringe
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Teiber, Jakob","3,5","11,00",3,,"Bauer, Timo","2,7","10,25",0
"Drechsel, Manuel","3,4","11,50",4,,"Ellinger, Florian","3,1","10,30",0
"Steinhauser, Nico","3,2","11,60",3,,"Kuhn, Björn","3,2","10,65",0
"Ruf, Elias","4,0","10,30",0,,"Wullert, Bastian","2,9","10,65",2
Summe,,10,,Summe,,2
Sprung
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"von Kirn, Julian","3,2","11,95",0,,"Tasol, Tim","4,0","13,05",4
"Ruf, Elias","4,0","12,70",3,,"Fischer, Tom","3,2","11,90",0
"Drechsel, Manuel","4,0","12,55",2,,"Kuhn, Björn","3,2","12,05",0
"Kimmerle, Felix","4,0","12,40",2,,"Cocks, Jonathan","3,2","12,00",0
Summe,,7,,Summe,,4
Barren
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Mittmann, Moritz","3,4","9,30",0,,"Kuhn, Björn","2,7","11,55",5
"Ruf, Elias","3,3","11,50",2,,"Ellinger, Florian","2,5","11,10",0
"Schober, Pascal","3,7","12,05",3,,"Tasol, Tim","2,5","11,25",0
"Drechsel, Manuel","3,5","11,85",3,,"Dörksen, Luca","3,0","11,25",0
Summe,,8,,Summe,,5
Reck
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Kimmerle, Felix","2,9","11,05",0,,"Wullert, Bastian","2,5","10,95",0
"Ruchti, Finn","3,0","10,40",0,,"Kuhn, Björn","2,6","11,05",3
"Ruf, Elias","2,9","9,85",0,,"Ellinger, Florian","2,5","9,75",0
"Drechsel, Manuel","2,7","9,25",10,,"Cocks, Jonathan","2,2","2,90",0
Summe,,10,,Summe,,3
Gesamt,,59,,Gesamt,,18
