TSG Backnang,,KTV Hohenlohe
Boden
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Böckheler, Urs","3,6","11,60",0,,"Albrecht, Jonas","3,8","11,65",0
"Kuhn, Björn","3,5","10,55",0,,"Philippiak, Ron","3,5","11,30",3
"Cocks, Jonathan","3,8","11,80",0,,"Bickel, David","5,4","13,60",4
"Sirosh, Nikita","4,3","12,00",1,,"Schmidt, Micha Joel","3,6","11,85",0
Summe,,1,,Summe,,7
Pferd
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Wullert, Bastian","2,8","10,75",3,,"Bortt, Silas","2,6","10,15",0
"Al-Dulaimi, Yasir","3,2","9,35",0,,"Albrecht, Jonas","2,6","9,95",3
"Ellinger, Florian","2,4","6,40",0,,"Pfleger, Julian","2,6","9,35",5
"Kuhn, Björn","2,7","10,45",0,,"Vetter, Gino","3,9","11,85",4
Summe,,3,,Summe,,12
Ringe
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Wullert, Bastian","2,9","10,30",0,,"Bortt, Silas","3,0","10,20",0
"Ellinger, Florian","3,4","10,50",0,,"Philippiak, Ron","2,6","10,70",1
"Bauer, Timo","2,6","10,10",0,,"Vetter, Gino","3,6","12,30",5
"Kuhn, Björn","3,2","10,55",1,,"Bogdahn, Michael","2,6","10,35",0
Summe,,1,,Summe,,6
Sprung
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Kuhn, Björn","3,2","11,60",0,,"Bortt, Jan-Moritz","3,2","11,80",1
"Tasol, Tim","4,0","12,70",0,,"Albrecht, Jonas","4,0","12,80",0
"Fischer, Tom","3,2","11,85",0,,"Schmidt, Micha Joel","3,2","12,05",1
"Cocks, Jonathan","3,2","11,70",0,,"Bickel, David","4,0","12,70",3
Summe,,0,,Summe,,5
Barren
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Ellinger, Florian","2,5","11,45",0,,"Philippiak, Ron","2,9","11,55",0
"Tasol, Tim","2,5","11,60",0,,"Bortt, Silas","2,5","11,55",0
"Al-Dulaimi, Yasir","4,2","12,15",3,,"Bogdahn, Michael","2,5","11,30",0
"Kuhn, Björn","2,7","11,80",0,,"Bickel, David","4,5","12,55",3
Summe,,3,,Summe,,3
Reck
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Kuhn, Björn","2,6","11,00",2,,"Schmidt, Micha Joel","2,6","10,65",0
"Wullert, Bastian","2,5","10,95",3,,"Philippiak, Ron","3,1","10,10",0
"Ellinger, Florian","2,5","10,55",0,,"Bortt, Silas","2,5","10,90",2
"Al-Dulaimi, Yasir","3,7","11,95",4,,"Vetter, Gino","3,3","10,25",0
Summe,,9,,Summe,,2
Gesamt,,17,,Gesamt,,35
