TSV Unterföhring,,TSG Backnang
Boden
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Bircks, Oliver","3,8","12,10",1,,"Cocks, Jonathan","3,8","11,90",0
"Wolf, Sebastian","3,8","11,55",1,,"Tasol, Tim","3,7","11,35",0
"Miggitsch, Martin","4,8","12,70",4,,"Kuhn, Björn","3,4","10,75",0
"Isztl, Daniel","3,5","11,85",0,,"Sirosh, Nikita","4,3","12,50",3
Summe,,6,,Summe,,3
Pferd
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Bircks, Oliver","2,5","10,20",3,,"Wullert, Bastian","3,2","9,50",0
"Eiglmeier, Christoph","2,5","10,60",2,,"Kuhn, Björn","2,7","10,10",0
"Miggitsch, Martin","3,9","12,50",5,,"Ellinger, Florian","2,7","10,10",0
"Wolf, Sebastian","2,8","10,00",4,,"Cocks, Jonathan","2,5","8,90",0
Summe,,14,,Summe,,0
Ringe
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Zander, Daniel","5,1","13,30",5,,"Wullert, Bastian","2,9","10,80",0
"Eiglmeier, Christoph","3,3","9,70",0,,"Ellinger, Florian","3,1","10,10",2
"Bircks, Oliver","2,9","10,80",1,,"Kuhn, Björn","3,2","10,65",0
"Bircks, Florian","2,4","10,70",4,,"Sirosh, Nikita","3,3","8,95",0
Summe,,10,,Summe,,2
Sprung
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Bircks, Oliver","4,0","12,85",4,,"Kuhn, Björn","3,2","11,20",0
"Eiglmeier, Christoph","4,0","12,90",2,,"Tasol, Tim","4,0","12,60",0
"Isztl, Daniel","4,0","12,60",3,,"Fischer, Tom","3,2","12,00",0
"Miggitsch, Martin","4,0","12,55",4,,"Cocks, Jonathan","1,6","10,70",0
Summe,,13,,Summe,,0
Barren
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Bircks, Oliver","2,5","11,15",2,,"Ellinger, Florian","2,5","10,80",0
"Zander, Daniel","3,8","12,60",2,,"Dörksen, Luca","3,0","12,15",0
"Rolle, Andreas","2,8","11,85",3,,"Kuhn, Björn","2,7","11,10",0
"Isztl, Daniel","3,2","12,25",4,,"Sirosh, Nikita","3,3","10,90",0
Summe,,11,,Summe,,0
Reck
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Bircks, Oliver","2,8","10,95",0,,"Kuhn, Björn","2,6","11,40",2
"Isztl, Daniel","2,9","10,40",0,,"Wullert, Bastian","2,5","11,35",3
"Marin Ogalla, Pablo","3,6","12,45",4,,"Ellinger, Florian","2,5","11,25",0
"Wolf, Sebastian","2,9","10,80",1,,"Cocks, Jonathan","2,5","10,60",0
Summe,,5,,Summe,,5
Gesamt,,59,,Gesamt,,10
