USC München,,KTT Heilbronn
Boden
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Seipl, Paul","3,3","10,65",0,,"Späth, Fabian","3,7","11,50",3
"Huber, Paul","3,3","11,45",3,,"Hofmann, Jakob","3,9","10,60",0
"Trattnig, Stephan","3,5","11,95",3,,"Thiele, Moritz","3,8","11,30",0
"Röhr, Alessio","3,4","10,60",1,,"Payer, Stefan","3,8","10,35",0
Summe,,7,,Summe,,3
Pferd
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Seipl, Paul","2,5","10,30",0,,"Binder, Julius","2,7","10,30",0
"Schnippe, Lukas","2,7","8,65",5,,"Thiele, Moritz","2,6","5,05",0
"Trattnig, Stephan","2,5","10,70",0,,"Hofmann, Jakob","3,9","11,15",2
"Pfinder, Moritz","3,3","11,10",3,,"Konrad, Joshua","2,7","10,30",0
Summe,,8,,Summe,,2
Ringe
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Seipl, Paul","2,4","10,55",3,,"Staufert, Colin","2,0","10,00",0
"Huber, Paul","2,9","11,05",1,,"Schaaf, Jonas","2,7","10,85",0
"Peindl, Severin","2,5","10,80",3,,"Payer, Stefan","2,7","9,80",0
"Hechtl, Dominik","2,7","10,60",1,,"Storz, Patrick","3,0","10,45",0
Summe,,8,,Summe,,0
Sprung
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Schnippe, Lukas","3,2","11,95",1,,"Späth, Fabian","3,2","11,70",0
"Albert, Felix","3,2","11,70",0,,"Hofmann, Jakob","4,0","12,40",3
"Huber, Paul","4,0","12,80",4,,"Thiele, Moritz","3,2","11,75",0
"Röhr, Alessio","4,0","12,60",3,,"Binder, Julius","3,2","11,75",0
Summe,,8,,Summe,,3
Barren
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Peindl, Severin","2,6","10,80",0,,"Storz, Patrick","2,4","11,70",3
"Huber, Paul","2,5","11,45",3,,"Binder, Julius","2,4","10,90",0
"Trattnig, Stephan","2,5","11,85",3,,"Schaaf, Jonas","2,5","11,15",0
"Albert, Felix","2,4","11,60",0,,"Hofmann, Jakob","3,4","12,25",3
Summe,,6,,Summe,,6
Reck
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Röhr, Alessio","2,5","10,50",5,,"Payer, Stefan","2,4","7,00",0
"Hechtl, Dominik","2,5","10,85",3,,"Schaaf, Jonas","2,8","10,20",0
"Albert, Felix","2,4","10,45",2,,"Braun, Dominik","2,4","10,10",0
"Trattnig, Stephan","2,4","11,30",2,,"Hofmann, Jakob","2,5","11,00",0
Summe,,12,,Summe,,0
Gesamt,,49,,Gesamt,,14
